,date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
0,1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424
1,1/1/2015,Quarter1,finishing ,Thursday,1,0.75,3.94,N/A,960,0,0.0,0,0,8.0,0.8865
2,1/1/2015,Quarter1,sweing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492
3,1/1/2015,Quarter1,sweing,Thursday,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492
4,1/1/2015,Quarter1,sweing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944
5,1/1/2015,Quarter1,sweing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125
6,1/1/2015,Quarter1,finishing ,Thursday,2,0.75,3.94,N/A,960,0,0.0,0,0,8.0,0.755166667
7,1/1/2015,Quarter1,sweing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478
8,1/1/2015,Quarter1,sweing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531
9,1/1/2015,Quarter1,sweing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826
10,1/1/2015,Quarter1,sweing,Thursday,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957
11,1/1/2015,Quarter1,sweing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247
12,1/1/2015,Quarter1,sweing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902
13,1/1/2015,Quarter1,finishing ,Thursday,10,0.65,3.94,N/A,960,0,0.0,0,0,8.0,0.705916667
14,1/1/2015,Quarter1,finishing ,Thursday,8,0.75,2.9,N/A,960,0,0.0,0,0,8.0,0.676666667
15,1/1/2015,Quarter1,finishing ,Thursday,4,0.75,3.94,N/A,2160,0,0.0,0,0,18.0,0.593055556
16,1/1/2015,Quarter1,finishing ,Thursday,7,0.8,2.9,N/A,960,0,0.0,0,0,8.0,0.540729167
17,1/1/2015,Quarter1,sweing,Thursday,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118
18,1/1/2015,Quarter1,finishing,Thursday,11,0.7,4.15,N/A,1440,0,0.0,0,0,12.0,0.436326389
19,1/3/2015,Quarter1,finishing ,Saturday,4,0.8,4.15,N/A,6600,0,0.0,0,0,20.0,0.988024691
20,1/3/2015,Quarter1,finishing ,Saturday,11,0.75,2.9,N/A,5640,0,0.0,0,0,17.0,0.987880435
21,1/3/2015,Quarter1,finishing ,Saturday,9,0.8,4.15,N/A,960,0,0.0,0,0,8.0,0.956270833
22,1/3/2015,Quarter1,finishing ,Saturday,3,0.75,3.94,N/A,1560,0,0.0,0,0,8.0,0.945277778
23,1/3/2015,Quarter1,finishing ,Saturday,1,0.8,3.94,N/A,960,0,0.0,0,0,8.0,0.902916667
